,Unnamed: 0,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Home_Team,Away_Team
276,276,21900272,1610612754,1610612737,15827.0,105,104,20,27,202901,201640,2002,Indiana Pacers,Atlanta Hawks
277,277,21900274,1610612763,1610612762,16605.0,94,103,17,15,203591,2529,200832,Memphis Grizzlies,Utah Jazz
278,278,21900275,1610612760,1610612740,18203.0,109,104,17,12,1174,1627962,1626300,Oklahoma City Thunder,New Orleans Pelicans
279,279,21900281,1610612755,1610612754,20517.0,119,116,16,24,201638,1146,1627541,Philadelphia 76ers,Indiana Pacers
280,280,21900282,1610612745,1610612737,18055.0,158,111,23,23,1188,101284,202026,Houston Rockets,Atlanta Hawks
281,281,21900283,1610612749,1610612766,17550.0,137,96,13,18,204059,200833,202058,Milwaukee Bucks,Charlotte Hornets
282,282,21900280,1610612758,1610612743,17583.0,100,97,23,21,1626302,202041,1201,Sacramento Kings,Denver Nuggets
283,283,21900287,1610612747,1610612742,18997.0,100,114,14,20,2148,2529,1204,Los Angeles Lakers,Dallas Mavericks
284,284,21900285,1610612752,1610612738,18005.0,104,113,25,28,201639,2005,1628953,New York Knicks,Boston Celtics
285,285,21900284,1610612751,1610612748,17026.0,106,109,21,17,202053,2534,201637,Brooklyn Nets,Miami Heat
286,286,21900292,1610612746,1610612764,19068.0,150,125,25,29,200834,1626302,202041,Los Angeles Clippers,Washington Wizards
287,287,21900290,1610612753,1610612744,15052.0,100,96,20,17,1198,1627961,1148,Orlando Magic,Golden State Warriors
288,288,21900288,1610612765,1610612759,14270.0,132,98,14,15,202056,1162,101283,Detroit Pistons,San Antonio Spurs
289,289,21900286,1610612750,1610612763,12276.0,107,115,21,26,1628951,2003,2004,Minnesota Timberwolves,Memphis Grizzlies
290,290,21900291,1610612761,1610612762,18132.0,130,110,24,17,202035,204058,1830,Toronto Raptors,Utah Jazz
291,291,21900289,1610612740,1610612760,15427.0,104,107,22,14,2882,1151,1155,New Orleans Pelicans,Oklahoma City Thunder
292,292,21900294,1610612755,1610612762,20208.0,103,94,22,26,202049,201640,203593,Philadelphia 76ers,Utah Jazz
